"Id","Player","Category","Name","Description","XP","Active"
"q_water_a","A","補水","主動補水","今天有意識地補充水分，不是等到口渴或很累才想起來喝水","10","TRUE"
"q_water_b","B","補水","主動補水","今天有意識地補充水分，不是等到口渴或很累才想起來喝水","10","TRUE"
"q_food_a","A","飲食","做一個不委屈的健康選擇","不用完美，只要今天有一個選擇比平常更照顧身體，例如無糖、少飯、先喝水、小份甜","15","TRUE"
"q_food_b","B","飲食","好好吃一餐","至少一餐慢下來吃，先照顧身體，再處理事情","15","TRUE"
"q_move_a","A","活動","走動 15 分鐘","散步、走樓梯或多繞一段路，讓身體醒過來","20","TRUE"
"q_move_b","B","活動","讓身體動起來","散步、伸展、走一段路、活動肩頸都可以，重點是讓身體不要整天卡住。","20","TRUE"
"q_resist_a","A","空間","清一個小角落","整理桌面、衣物或地板一小區，讓空間少一點壓力","25","TRUE"
"q_resist_b","B","休息","腦袋降噪","睡前少滑一段手機，讓腦袋慢慢降速","25","TRUE"
"q_chore_a","A","學習","吸收一點新知","今天主動學一個小東西，可以是一篇文章、一段影片、一個英文/韓文單字、一個工作技巧或生活知識；讓自己每天有一點輸入","25","TRUE"
"q_read_b","B","學習","吸收一點新知","今天主動學一個小東西，可以是一篇文章、一段影片、一個英文/韓文單字、一個工作技巧或生活知識；讓自己每天有一點輸入","25","TRUE"
"q_stretch_a","A","關係","說一句具體感謝","不是泛泛說謝謝，而是說出今天哪件事讓你被照顧到","15","TRUE"
"q_stretch_b","B","關係","給一句具體稱讚","說出對方今天做得好的地方，讓努力被看見	","15","TRUE"